"filename", "language", "TypeScript", "TypeScript React", "JSON", "JSON with Comments", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Profile.tsx", "TypeScript React", 0, 219, 0, 0, 0, 0, 0, 0, 0, 3, 222
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Project.tsx", "TypeScript React", 0, 292, 0, 0, 0, 0, 0, 0, 0, 14, 306
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Projects.tsx", "TypeScript React", 0, 231, 0, 0, 0, 0, 0, 0, 6, 11, 248
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Settings.tsx", "TypeScript React", 0, 202, 0, 0, 0, 0, 0, 0, 0, 12, 214
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/Pages/Signup.tsx", "TypeScript React", 0, 312, 0, 0, 0, 0, 0, 0, 0, 7, 319
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/api/constants.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/api/index.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/index.tsx", "TypeScript React", 0, 50, 0, 0, 0, 0, 0, 0, 9, 6, 65
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/serviceWorker.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 31, 14, 147
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/test-utils.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/utils/theme.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/src/utils/types.d.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/website/tsconfig.json", "JSON with Comments", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"Total", "-", 1246, 3973, 290, 48, 15, 1, 80, 36, 225, 430, 6344
